Date,Open,High,Low,Close,Mcap,TurnOver
2005-11-07,4013.85,4065.05,3990.9,4032.8,1571925,5740439
2005-11-08,4042.3,4106.1,4042.3,4076.95,1589132,4621189
2005-11-09,4088.5,4139.65,4059.55,4094.7,1596032,5913770
2005-11-10,4095.95,4131.75,4069.7,4081.4,1590852,4857044
2005-11-11,4082.8,4174,4082.8,4165.3,1623553,4885060
2005-11-14,4170.6,4274.1,4170.6,4259.7,1660386,4723562
2005-11-16,4269.2,4333.2,4269.2,4318.85,1683439,3621522
2005-11-17,4330.55,4387.4,4293.85,4380.35,1707420,4689355
2005-11-18,4353.1,4416.85,4327.95,4346.1,1694077,3193906
2005-11-21,4350.8,4355.55,4241.25,4251.95,1657378,3353348
2005-11-22,4248.1,4281.75,4177.2,4190.95,1633647,4841628
2005-11-23,4191.1,4268.8,4185.55,4260.75,1660861,4531884
2005-11-24,4258.25,4349.8,4258.25,4318.35,1683319,4660722
2005-11-25,4333.95,4374,4327.95,4367.65,1702545,3406048
2005-11-28,4379.65,4426.95,4379.15,4407.55,1718103,4257887
2005-11-29,4282.6,4412.65,4282.6,4348.25,1694983,4184915
2005-11-30,4353.4,4415.95,4286.2,4298.2,1675482,4591572
2005-12-01,4321.65,4343.8,4269.85,4336.4,1690367,3898860
2005-12-02,4351.45,4411.2,4330.7,4343.45,1693120,4201939
2005-12-05,4339,4368.3,4261.2,4270.25,1664572,3194484
2005-12-06,4263.9,4280.35,4218.45,4229.7,1648767,4126279
2005-12-07,4242,4283.55,4230.25,4276.65,1667081,3714775
2005-12-08,4282.6,4291.35,4234.25,4266.85,1663266,3020489
2005-12-09,4268.75,4320.55,4265.25,4314.5,1681835,2603606
2005-12-12,4314.55,4382.35,4314.55,4366.75,1702328,3921309
2005-12-13,4368.7,4439.05,4364.7,4429.8,1726929,5525862
2005-12-14,4427.85,4536.25,4427.85,4519.55,1761906,7140132
2005-12-15,4523.35,4541.6,4377.35,4406.1,1717679,5135564
2005-12-16,4414.75,4532.65,4364.25,4520.15,1762141,9480201
2005-12-19,4492.4,4606.75,4492.4,4595.85,1861197,7645408
2005-12-20,4605.4,4608.05,4536.55,4578.35,1854253,6698242
2005-12-21,4576.85,4611.7,4487.1,4511.05,1827696,6399566
2005-12-22,4510.45,4542.75,4487.45,4522.45,1832371,4307916
2005-12-23,4537.4,4571.85,4459.05,4469.8,1810813,4386576
2005-12-26,4463.65,4481.6,4319.05,4335.15,1756346,4042681
2005-12-27,4325.15,4459.1,4299.3,4451.95,1803606,4679876
2005-12-28,4454.75,4505.1,4420.95,4453.6,1804309,5647535
2005-12-29,4463.1,4495.8,4435.1,4441.55,1799441,5267840
2005-12-30,4445.6,4551.65,4445.6,4534.2,1836992,4461083
2006-01-02,4566.95,4601.35,4542,4556.25,1845772,9442969
2006-01-03,4531.45,4605.45,4531.45,4600.25,1863535,5572187
2006-01-04,4619.55,4707.6,4616.05,4694.15,1901639,8384810
2006-01-05,4714.2,4782.65,4670.55,4760.45,1928781,9609463
2006-01-06,4767.25,4802.8,4703.1,4755.6,1926875,5432027
2006-01-09,4758.1,4777.05,4676.1,4695.6,1902586,4681788
2006-01-10,4698.8,4724.85,4617.6,4629.1,1875616,5868377
2006-01-12,4629.65,4659,4592,4635.35,1878340,5659450
2006-01-13,4634.25,4672.15,4589.45,4602.55,1864915,3877976
2006-01-16,4602.95,4615.95,4533.8,4558.15,1846991,3959751
2006-01-17,4556.35,4604.6,4491.9,4504.05,1825133,3211900
2006-01-18,4442.8,4493.55,4385.65,4441.75,1799843,5750360
2006-01-19,4447.65,4513.6,4447.65,4489,1818909,4494968
2006-01-20,4550.8,4553.8,4490.9,4509.4,1827071,5018384
2006-01-23,4510.85,4529.35,4462.15,4491.7,1819983,3655652
2006-01-24,4494.85,4546.35,4484.2,4492.3,1828769,5487296
2006-01-25,4493.2,4577.05,4477.3,4494.95,1838589,11092880
2006-01-27,4564.05,4676.6,4564,4666.9,1908907,6767483
2006-01-30,4574.05,4668.4,4566.3,4601.8,1882267,5014985
2006-01-31,4629.05,4632.05,4595.45,4617.6,1888924,4182519
2006-02-01,4622.3,4645.4,4469.55,4483.8,1834216,4251856
2006-02-02,4542.15,4542.15,4426.85,4441.05,1816722,4935338
2006-02-03,4444.6,4444.6,4382.2,4397.9,1799072,3439639
2006-02-06,4421.6,4506.95,4421.6,4481.65,1834009,7211686
2006-02-07,4483.6,4597.4,4482.55,4578.1,1898253,7040512
2006-02-08,4580,4580,4501.75,4563.85,1892329,4568686
2006-02-10,4564.3,4597.5,4557.15,4581.85,1899847,6840878
